"";"x1";"x2";"sex";"y"
"233";6;2;2;4,71
"234";6;4;2;-1,5
"235";4;5;2;2,04
"236";7;6;1;-6,02
"237";3;3;2;4,95
"238";3;6;2;0,99
"239";5;2;2;-2,53
"240";6;3;1;1,86
"241";4;4;2;-4,63
"242";5;5;1;-5,09
"243";5;3;1;-8,51
"244";2;5;1;-7,49
"245";7;4;2;3,37
"246";5;1;1;-5,46
"247";7;6;2;0,19
"248";1;5;2;1,8
"249";1;6;1;-1,83
"250";4;1;2;-0,23
"251";2;1;1;1,8
"252";4;3;1;-1,53
"253";3;1;2;-0,22
"254";6;3;2;-9,87
"255";6;2;2;2,31
"256";5;6;2;0,95
"257";6;6;2;-6,37
"258";6;5;2;1,38
"259";3;6;2;3,57
"260";2;7;2;5,19
"261";5;5;1;3,72
"262";7;3;2;-10,94
"263";3;1;2;2,12
"264";6;5;1;1,85
"265";3;6;2;7,73
"266";5;2;1;0,84
"267";4;5;2;-5,11
"268";7;2;2;-9,69
"269";2;5;2;2,57
"270";3;4;2;-2,22
"271";4;6;1;-3,79
"272";4;2;2;2,07
"273";3;2;1;0,4
"274";6;3;2;-1,4
"275";4;4;2;2,23
"276";7;2;1;2,71
"277";7;6;1;-13,64
"278";6;3;2;-0,73
"279";4;6;1;3,44
"280";4;6;2;-7,32
"281";7;5;1;-2,61
"282";5;4;1;-0,5
"283";5;3;1;0,1
"284";1;6;1;-4,05
"285";4;4;2;-1,85
"286";5;4;2;-8,99
"287";5;0;1;0,61
"288";3;3;1;0,78
"289";3;4;2;-5,05
"290";7;5;1;-4,6
