"";"x1";"x2";"sex";"y"
"223";6;5;2;24,95
"224";5;4;1;9,85
"225";5;2;2;4,97
"226";5;5;2;14,16
"227";4;4;2;14,82
"228";2;4;2;21,08
"229";3;5;1;25,04
"230";4;4;1;19,85
"231";4;1;2;0,73
"232";6;2;1;6,58
"233";5;3;1;12,64
"234";3;3;2;11,68
"235";5;6;2;24,75
"236";7;4;1;16,15
"237";4;2;2;7,35
"238";5;5;1;16,27
"239";6;6;1;22,16
"240";4;3;2;9,1
"241";2;5;2;24,01
"242";4;6;1;26,79
"243";4;4;2;8,83
"244";3;2;2;6,12
"245";4;3;1;10,36
"246";5;4;2;17,88
"247";3;3;1;10,12
"248";5;3;1;4,79
"249";5;5;2;17,23
"250";5;2;1;7,97
"251";5;5;2;25,14
"252";4;5;1;25,02
"253";3;4;1;16,81
"254";7;5;1;17,12
"255";4;3;2;14,69
"256";4;3;1;8,08
"257";5;6;1;27,59
"258";4;4;2;25,03
"259";5;3;1;11,51
"260";6;5;2;19,51
"261";6;3;2;17,7
"262";5;4;1;19,25
"263";5;6;1;18,25
"264";4;5;1;20,28
"265";7;5;1;29,57
"266";7;5;1;18,45
"267";5;3;1;8,97
"268";5;6;1;29,23
"269";7;6;2;25,34
"270";5;5;2;15,33
"271";5;5;2;22,21
"272";2;7;1;46,3
"273";4;5;2;12,61
"274";7;5;1;26,48
"275";4;2;1;12,11
"276";5;3;1;8,29
